#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
              5445.3           2.159e-15                       |         5.50552695e+14      2.13538192e-29                    
              5449.3          2.1522e-15                       |         5.50148568e+14      2.13178478e-29                    
              5453.3          2.1385e-15                       |         5.49745033e+14      2.12132559e-29                    
              5457.3          2.1396e-15                       |         5.49342090e+14      2.12553148e-29                    
              5461.4          2.1199e-15                       |         5.48929687e+14      2.10912657e-29                    
              5465.4          2.1458e-15                       |         5.48527938e+14      2.13802334e-29                    
              5469.4          2.1337e-15                       |         5.48126776e+14      2.12908022e-29                    
              5473.4          2.1378e-15                       |         5.47726201e+14      2.13629264e-29                    
              5477.5           2.123e-15                       |         5.47316219e+14      2.12468260e-29                    
              5481.5          2.1191e-15                       |         5.46916828e+14      2.12387809e-29                    
              5485.5          2.1418e-15                       |         5.46518018e+14      2.14976332e-29                    
              5489.5          2.1309e-15                       |         5.46119791e+14      2.14194317e-29                    
              5493.6          2.1134e-15                       |         5.45712209e+14      2.12752694e-29                    
              5497.6          2.1008e-15                       |         5.45315154e+14      2.11792355e-29                    
              5501.6          2.0859e-15                       |         5.44918676e+14      2.10596332e-29                    
              5505.6          2.0889e-15                       |         5.44522775e+14      2.11206002e-29                    
              5509.6          2.0853e-15                       |         5.44127448e+14      2.11148489e-29                    
              5513.7          2.0989e-15                       |         5.43722834e+14      2.12841989e-29                    
              5517.7          2.0831e-15                       |         5.43328668e+14      2.11546372e-29                    
              5521.7          2.1014e-15                       |         5.42935073e+14      2.13714327e-29                    
              5525.7          2.0972e-15                       |         5.42542047e+14      2.13596312e-29                    
              5529.8          2.1106e-15                       |         5.42139786e+14      2.15280195e-29                    
              5533.8           2.136e-15                       |         5.41747911e+14      2.18186292e-29                    
              5537.8          2.1362e-15                       |         5.41356602e+14      2.18522289e-29                    
              5541.8          2.1248e-15                       |         5.40965858e+14      2.17670237e-29                    
              5545.9           2.149e-15                       |         5.40565930e+14      2.20475218e-29                    
              5549.9          2.1744e-15                       |         5.40176326e+14      2.23403026e-29                    
              5553.9          2.1806e-15                       |         5.39787283e+14      2.24363091e-29                    
              5557.9          2.2173e-15                       |         5.39398800e+14      2.28467910e-29                    
                5562          2.2434e-15                       |         5.39001185e+14      2.31498393e-29                    
                5566          2.2829e-15                       |         5.38613832e+14      2.35913388e-29                    
                5570          2.2992e-15                       |         5.38227036e+14      2.37939441e-29                    
                5574          2.3639e-15                       |         5.37840795e+14      2.44986597e-29                    
              5578.1          2.4367e-15                       |         5.37445472e+14      2.52902982e-29                    
              5582.1          2.5027e-15                       |         5.37060352e+14      2.60125731e-29                    
              5586.1          2.5432e-15                       |         5.36675783e+14      2.64714190e-29                    
              5590.1          2.6228e-15                       |         5.36291764e+14      2.73390629e-29                    
              5594.1          2.7195e-15                       |         5.35908294e+14      2.83876087e-29                    
              5598.2          2.8353e-15                       |         5.35515807e+14      2.96397908e-29                    
              5602.2          2.9489e-15                       |         5.35133446e+14      3.08714167e-29                    
              5606.2          3.1051e-15                       |         5.34751630e+14      3.25530782e-29                    
              5610.2          3.3012e-15                       |         5.34370359e+14      3.46583449e-29                    
              5614.3          3.4887e-15                       |         5.33980120e+14      3.66804075e-29                    
              5618.3          3.7066e-15                       |         5.33599948e+14      3.90269730e-29                    
              5622.3          3.8553e-15                       |         5.33220317e+14      4.06504638e-29                    
              5626.3          3.9324e-15                       |         5.32841226e+14      4.15224293e-29                    
              5630.4          3.9581e-15                       |         5.32453216e+14      4.18547312e-29                    
              5634.4          3.8918e-15                       |         5.32075215e+14      4.12121394e-29                    
              5638.4          3.7802e-15                       |         5.31697749e+14      4.00872106e-29                    
              5642.4          3.6393e-15                       |         5.31320819e+14      3.86478105e-29                    
              5646.5          3.5395e-15                       |         5.30935020e+14      3.76426229e-29                    
              5650.5          3.4056e-15                       |         5.30559170e+14      3.62699278e-29                    
              5654.5          3.2464e-15                       |         5.30183852e+14      3.46234023e-29                    
              5658.5          3.0962e-15                       |         5.29809064e+14      3.30682294e-29                    
              5662.5          2.9798e-15                       |         5.29434806e+14      3.18700571e-29                    
              5666.6           2.877e-15                       |         5.29051740e+14      3.08151490e-29                    
              5670.6          2.7926e-15                       |         5.28678551e+14      2.99533952e-29                    
              5674.6          2.7317e-15                       |         5.28305888e+14      2.93415333e-29                    
              5678.6          2.6937e-15                       |         5.27933750e+14      2.89741749e-29                    
              5682.7           2.636e-15                       |         5.27552852e+14      2.83944957e-29                    
              5686.7          2.6179e-15                       |         5.27181773e+14      2.82392387e-29                    
              5690.7          2.5932e-15                       |         5.26811217e+14      2.80121660e-29                    
              5694.7          2.5807e-15                       |         5.26441180e+14      2.79163425e-29                    
              5698.8          2.5442e-15                       |         5.26062432e+14      2.75611526e-29                    
              5702.8          2.5307e-15                       |         5.25693447e+14      2.74534066e-29                    
              5706.8          2.5004e-15                       |         5.25324979e+14      2.71627722e-29                    
              5710.8          2.4723e-15                       |         5.24957027e+14      2.68951745e-29                    
              5714.9          2.4298e-15                       |         5.24580411e+14      2.64708017e-29                    
              5718.9          2.4249e-15                       |         5.24213501e+14      2.64544133e-29                    
              5722.9          2.3914e-15                       |         5.23847104e+14      2.61254533e-29                    
              5726.9          2.3556e-15                       |         5.23481218e+14      2.57703336e-29                    
                5731          2.3276e-15                       |         5.23106716e+14      2.55004862e-29                    
                5735          2.3102e-15                       |         5.22741864e+14      2.53451998e-29                    
                5739          2.3247e-15                       |         5.22377520e+14      2.55398687e-29                    
                5743          2.2957e-15                       |         5.22013684e+14      2.52564358e-29                    
                5747          2.2584e-15                       |         5.21650355e+14      2.48806977e-29                    
              5751.1          2.2162e-15                       |         5.21278467e+14      2.44506317e-29                    
              5755.1          2.1944e-15                       |         5.20916160e+14      2.42438082e-29                    
              5759.1          2.1734e-15                       |         5.20554356e+14      2.40451891e-29                    
              5763.1          2.1933e-15                       |         5.20193054e+14      2.42990696e-29                    
              5767.2          2.1962e-15                       |         5.19823240e+14      2.43658299e-29                    
              5771.2          2.2241e-15                       |         5.19462952e+14      2.47096080e-29                    
              5775.2          2.2977e-15                       |         5.19103164e+14      2.55626973e-29                    
              5779.2          2.3542e-15                       |         5.18743873e+14      2.62275727e-29                    
              5783.3          2.3802e-15                       |         5.18376116e+14      2.65548706e-29                    
              5787.3          2.4794e-15                       |         5.18017830e+14      2.76998798e-29                    
              5791.3          2.5772e-15                       |         5.17660040e+14      2.88323170e-29                    
              5795.3          2.6473e-15                       |         5.17302744e+14      2.96574837e-29                    
              5799.4          2.6577e-15                       |         5.16937026e+14      2.98161374e-29                    
              5803.4          2.6044e-15                       |         5.16580727e+14      2.92584957e-29                    
              5807.4          2.5028e-15                       |         5.16224918e+14      2.81558681e-29                    
              5811.4          2.4212e-15                       |         5.15869599e+14      2.72754233e-29                    
              5815.5          2.3453e-15                       |         5.15505905e+14      2.64576836e-29                    
              5819.5          2.2819e-15                       |         5.15151575e+14      2.57778830e-29                    
              5823.5          2.2384e-15                       |         5.14797732e+14      2.53212507e-29                    
              5827.5          2.1728e-15                       |         5.14444374e+14      2.46129468e-29                    
              5831.5          2.1375e-15                       |         5.14091501e+14      2.42463282e-29                    
              5835.6          2.1008e-15                       |         5.13730309e+14      2.38635492e-29                    
              5839.6           2.074e-15                       |         5.13378415e+14      2.35914290e-29                    
              5843.6          2.0408e-15                       |         5.13027002e+14      2.32455969e-29                    
              5847.6          2.0327e-15                       |         5.12676071e+14      2.31850426e-29                    
              5851.7          1.9928e-15                       |         5.12316863e+14      2.27618269e-29                    
              5855.7          1.9828e-15                       |         5.11966902e+14      2.26785792e-29                    
              5859.7          1.9707e-15                       |         5.11617419e+14      2.25709883e-29                    
              5863.7          1.9473e-15                       |         5.11268412e+14      2.23334412e-29                    
              5867.8          1.9199e-15                       |         5.10911175e+14      2.20499957e-29                    
              5871.8          1.9233e-15                       |         5.10563131e+14      2.21191705e-29                    
              5875.8          1.8758e-15                       |         5.10215560e+14      2.16022922e-29                    
              5879.8          1.8988e-15                       |         5.09868463e+14      2.18969500e-29                    
              5883.9           1.869e-15                       |         5.09513178e+14      2.15833654e-29                    
              5887.9          1.8407e-15                       |         5.09167036e+14      2.12854658e-29                    
              5891.9          1.8217e-15                       |         5.08821363e+14      2.10943860e-29                    
              5895.9          1.8059e-15                       |         5.08476160e+14      2.09398329e-29                    
              5899.9          1.8231e-15                       |         5.08131424e+14      2.11679640e-29                    
                5904          1.8375e-15                       |         5.07778555e+14      2.13648251e-29                    
                5908          1.8592e-15                       |         5.07434765e+14      2.16464349e-29                    
                5912           1.847e-15                       |         5.07091439e+14      2.15335207e-29                    
                5916          1.8465e-15                       |         5.06748578e+14      2.15568321e-29                    
              5920.1          1.8456e-15                       |         5.06397627e+14      2.15762002e-29                    
              5924.1          1.8351e-15                       |         5.06055703e+14      2.14824492e-29                    
              5928.1          1.8252e-15                       |         5.05714241e+14      2.13954191e-29                    
              5932.1          1.8432e-15                       |         5.05373239e+14      2.16355871e-29                    
              5936.2          1.8439e-15                       |         5.05024189e+14      2.16737325e-29                    
              5940.2          1.8666e-15                       |         5.04684117e+14      2.19701333e-29                    
              5944.2          1.8549e-15                       |         5.04344502e+14      2.18618356e-29                    
              5948.2          1.8635e-15                       |         5.04005344e+14      2.19927642e-29                    
              5952.3          1.8813e-15                       |         5.03658181e+14      2.22334560e-29                    
              5956.3          1.9092e-15                       |         5.03319945e+14      2.25935174e-29                    
              5960.3          1.9185e-15                       |         5.02982164e+14      2.27340776e-29                    
              5964.3          1.9425e-15                       |         5.02644835e+14      2.30493819e-29                    
              5968.4          1.9899e-15                       |         5.02299543e+14      2.36442962e-29                    
              5972.4          1.9731e-15                       |         5.01963129e+14      2.34761116e-29                    
              5976.4          2.0295e-15                       |         5.01627165e+14      2.41795195e-29                    
              5980.4          2.0594e-15                       |         5.01291651e+14      2.45686034e-29                    
              5984.4          2.0677e-15                       |         5.00956585e+14      2.47006312e-29                    
              5988.5          2.0625e-15                       |         5.00613608e+14      2.46722843e-29                    
              5992.5           2.068e-15                       |         5.00279448e+14      2.47711355e-29                    
              5996.5          2.0633e-15                       |         4.99945733e+14      2.47478429e-29                    
              6000.5          2.0541e-15                       |         4.99612464e+14      2.46703754e-29                    
              6004.6          2.0508e-15                       |         4.99271324e+14      2.46644121e-29                    
              6008.6          2.0531e-15                       |         4.98938953e+14      2.47249821e-29                    
              6012.6          2.0236e-15                       |         4.98607024e+14      2.44021780e-29                    
              6016.6          2.0081e-15                       |         4.98275536e+14      2.42474968e-29                    
              6020.7          1.9944e-15                       |         4.97936218e+14      2.41149040e-29                    
              6024.7          1.9655e-15                       |         4.97605622e+14      2.37970540e-29                    
              6028.7          1.9733e-15                       |         4.97275464e+14      2.39232268e-29                    
              6032.7          1.9567e-15                       |         4.96945744e+14      2.37534665e-29                    
              6036.8          1.9368e-15                       |         4.96608234e+14      2.35438590e-29                    
              6040.8          1.9361e-15                       |         4.96279398e+14      2.35665492e-29                    
              6044.8           1.924e-15                       |         4.95950998e+14      2.34502910e-29                    
              6048.8          1.9249e-15                       |         4.95623031e+14      2.34923206e-29                    
              6052.9          1.9298e-15                       |         4.95287315e+14      2.35840613e-29                    
              6056.9          1.9289e-15                       |         4.94960226e+14      2.36042288e-29                    
              6060.9          1.9378e-15                       |         4.94633568e+14      2.37444702e-29                    
              6064.9          1.9452e-15                       |         4.94307341e+14      2.38666160e-29                    
              6068.9           1.929e-15                       |         4.93981544e+14      2.36990800e-29                    
                6073          1.9203e-15                       |         4.93648047e+14      2.36240819e-29                    
                6077           1.918e-15                       |         4.93323118e+14      2.36268798e-29                    
                6081          1.9178e-15                       |         4.92998617e+14      2.36555264e-29                    
                6085          1.9166e-15                       |         4.92674542e+14      2.36718361e-29                    
              6089.1          1.9211e-15                       |         4.92342808e+14      2.37594006e-29                    
              6093.1          1.9369e-15                       |         4.92019594e+14      2.39862915e-29                    
              6097.1          1.9461e-15                       |         4.91696805e+14      2.41318760e-29                    
              6101.1          1.9446e-15                       |         4.91374439e+14      2.41449252e-29                    
              6105.2           1.937e-15                       |         4.91044452e+14      2.40828958e-29                    
              6109.2          1.9621e-15                       |         4.90722941e+14      2.44269430e-29                    
              6113.2          1.9629e-15                       |         4.90401850e+14      2.44689132e-29                    
              6117.2          1.9409e-15                       |         4.90081179e+14      2.42263404e-29                    
              6121.3          1.9476e-15                       |         4.89752927e+14      2.43425679e-29                    
              6125.3          1.9272e-15                       |         4.89433104e+14      2.41190840e-29                    
              6129.3          1.9172e-15                       |         4.89113698e+14      2.40252808e-29                    
              6133.3          1.9088e-15                       |         4.88794709e+14      2.39512475e-29                    
              6137.4          1.8957e-15                       |         4.88468177e+14      2.38186841e-29                    
              6141.4          1.9185e-15                       |         4.88150029e+14      2.41365875e-29                    
              6145.4          1.9258e-15                       |         4.87832296e+14      2.42599996e-29                    
              6149.4          1.9358e-15                       |         4.87514975e+14      2.44177289e-29                    
              6153.4          1.9342e-15                       |         4.87198068e+14      2.44292970e-29                    
              6157.5           1.928e-15                       |         4.86873665e+14      2.43834507e-29                    
              6161.5          1.9207e-15                       |         4.86557590e+14      2.43226974e-29                    
              6165.5          1.9041e-15                       |         4.86241925e+14      2.41438016e-29                    
              6169.5          1.8924e-15                       |         4.85926670e+14      2.40265919e-29                    
              6173.6          1.8854e-15                       |         4.85603957e+14      2.39695440e-29                    
              6177.6          1.8638e-15                       |         4.85289528e+14      2.37256528e-29                    
              6181.6          1.8309e-15                       |         4.84975506e+14      2.33370372e-29                    
              6185.6          1.8083e-15                       |         4.84661891e+14      2.30788116e-29                    
              6189.7           1.791e-15                       |         4.84340855e+14      2.28883287e-29                    
              6193.7          1.7788e-15                       |         4.84028059e+14      2.27618076e-29                    
              6197.7          1.7731e-15                       |         4.83715667e+14      2.27181847e-29                    
              6201.7          1.7673e-15                       |         4.83403678e+14      2.26731093e-29                    
              6205.8          1.7394e-15                       |         4.83084307e+14      2.23446889e-29                    
              6209.8          1.7254e-15                       |         4.82773131e+14      2.21934243e-29                    
              6213.8          1.7372e-15                       |         4.82462356e+14      2.23740012e-29                    
              6217.8          1.7372e-15                       |         4.82151981e+14      2.24028161e-29                    
              6221.8          1.7244e-15                       |         4.81842006e+14      2.22663691e-29                    
              6225.9          1.7103e-15                       |         4.81524694e+14      2.21134179e-29                    
              6229.9          1.7003e-15                       |         4.81215524e+14      2.20123800e-29                    
              6233.9          1.6876e-15                       |         4.80906750e+14      2.18760282e-29                    
              6237.9          1.6636e-15                       |         4.80598373e+14      2.15926042e-29                    
                6242          1.6494e-15                       |         4.80282696e+14      2.14364475e-29                    
                6246          1.6424e-15                       |         4.79975118e+14      2.13728379e-29                    
                6250          1.6357e-15                       |         4.79667934e+14      2.13129214e-29                    
                6254          1.6301e-15                       |         4.79361143e+14      2.12671501e-29                    
              6258.1          1.6389e-15                       |         4.79047089e+14      2.14100040e-29                    
              6262.1          1.6319e-15                       |         4.78741092e+14      2.13458196e-29                    
              6266.1          1.6222e-15                       |         4.78435485e+14      2.12460567e-29                    
              6270.1          1.6323e-15                       |         4.78130267e+14      2.14056397e-29                    
              6274.2          1.6186e-15                       |         4.77817824e+14      2.12537491e-29                    
              6278.2          1.5865e-15                       |         4.77513394e+14      2.08588166e-29                    
              6282.2          1.5937e-15                       |         4.77209352e+14      2.09801885e-29                    
              6286.2          1.6027e-15                       |         4.76905697e+14      2.11255450e-29                    
              6290.3          1.5989e-15                       |         4.76594851e+14      2.11029571e-29                    
              6294.3          1.5807e-15                       |         4.76291977e+14      2.08892874e-29                    
              6298.3          1.6018e-15                       |         4.75989488e+14      2.11950415e-29                    
              6302.3          1.5831e-15                       |         4.75687382e+14      2.09742186e-29                    
              6306.3          1.5944e-15                       |         4.75385660e+14      2.11507531e-29                    
              6310.4          1.5671e-15                       |         4.75076792e+14      2.08156408e-29                    
              6314.4           1.578e-15                       |         4.74775844e+14      2.09870054e-29                    
              6318.4          1.5875e-15                       |         4.74475277e+14      2.11401110e-29                    
              6322.4          1.5614e-15                       |         4.74175090e+14      2.08188822e-29                    
              6326.5          1.5487e-15                       |         4.73867793e+14      2.06763378e-29                    
              6330.5          1.5681e-15                       |         4.73568374e+14      2.09618243e-29                    
              6334.5          1.5767e-15                       |         4.73269333e+14      2.11034298e-29                    
              6338.5          1.5671e-15                       |         4.72970670e+14      2.10014362e-29                    
              6342.6          1.5734e-15                       |         4.72664931e+14      2.11131527e-29                    
              6346.6          1.5482e-15                       |         4.72367030e+14      2.08012107e-29                    
              6350.6          1.5463e-15                       |         4.72069504e+14      2.08018792e-29                    
              6354.6          1.5712e-15                       |         4.71772352e+14      2.11634859e-29                    
              6358.7          1.5471e-15                       |         4.71468160e+14      2.08657670e-29                    
              6362.7          1.5061e-15                       |         4.71171765e+14      2.03383632e-29                    
              6366.7          1.4978e-15                       |         4.70875743e+14      2.02517191e-29                    
              6370.7          1.5453e-15                       |         4.70580092e+14      2.09202278e-29                    
              6374.8           1.567e-15                       |         4.70277435e+14      2.12413160e-29                    
              6378.8          1.5623e-15                       |         4.69982534e+14      2.12041906e-29                    
              6382.8            1.57e-15                       |         4.69688004e+14      2.13354310e-29                    
              6386.8          1.5649e-15                       |         4.69393842e+14      2.12927875e-29                    
              6390.8          1.5714e-15                       |         4.69100049e+14      2.14080198e-29                    
              6394.9          1.5653e-15                       |         4.68799292e+14      2.13522869e-29                    
              6398.9          1.5822e-15                       |         4.68506242e+14      2.16098286e-29                    
              6402.9           1.578e-15                       |         4.68213558e+14      2.15794183e-29                    
              6406.9           1.568e-15                       |         4.67921240e+14      2.14694661e-29                    
                6411          1.5736e-15                       |         4.67621992e+14      2.15737279e-29                    
                6415          1.5828e-15                       |         4.67330412e+14      2.17269447e-29                    
                6419           1.559e-15                       |         4.67039195e+14      2.14269404e-29                    
                6423          1.5507e-15                       |         4.66748340e+14      2.13394355e-29                    
              6427.1          1.5582e-15                       |         4.66450590e+14      2.14700280e-29                    
              6431.1          1.5374e-15                       |         4.66160469e+14      2.12098061e-29                    
              6435.1          1.5208e-15                       |         4.65870708e+14      2.10069015e-29                    
              6439.1          1.5171e-15                       |         4.65581306e+14      2.09818532e-29                    
              6443.2          1.5138e-15                       |         4.65285043e+14      2.09628835e-29                    
              6447.2          1.5094e-15                       |         4.64996369e+14      2.09279133e-29                    
              6451.2          1.4927e-15                       |         4.64708053e+14      2.07220559e-29                    
              6455.2          1.5043e-15                       |         4.64420094e+14      2.09089949e-29                    
              6459.3           1.479e-15                       |         4.64125306e+14      2.05834601e-29                    
              6463.3          1.4831e-15                       |         4.63838069e+14      2.06660921e-29                    
              6467.3          1.4894e-15                       |         4.63551187e+14      2.07795749e-29                    
              6471.3          1.4687e-15                       |         4.63264659e+14      2.05161307e-29                    
              6475.3           1.462e-15                       |         4.62978486e+14      2.04477938e-29                    
              6479.4          1.4639e-15                       |         4.62685525e+14      2.05003034e-29                    
              6483.4          1.4692e-15                       |         4.62400066e+14      2.05999349e-29                    
              6487.4          1.4567e-15                       |         4.62114960e+14      2.04498802e-29                    
              6491.4          1.4414e-15                       |         4.61830205e+14      2.02600520e-29                    
              6495.5           1.451e-15                       |         4.61538694e+14      2.04207591e-29                    
              6499.5          1.4463e-15                       |         4.61254649e+14      2.03796902e-29                    
              6503.5          1.4405e-15                       |         4.60970953e+14      2.03229546e-29                    
              6507.5           1.428e-15                       |         4.60687605e+14      2.01713914e-29                    
              6511.6            1.43e-15                       |         4.60397535e+14      2.02251039e-29                    
              6515.6          1.4248e-15                       |         4.60114892e+14      2.01763234e-29                    
              6519.6          1.4246e-15                       |         4.59832596e+14      2.01982683e-29                    
              6523.6          1.4356e-15                       |         4.59550645e+14      2.03792123e-29                    
              6527.7            1.43e-15                       |         4.59262005e+14      2.03252411e-29                    
              6531.7          1.4297e-15                       |         4.58980754e+14      2.03458890e-29                    
              6535.7          1.4228e-15                       |         4.58699847e+14      2.02725029e-29                    
              6539.7          1.4092e-15                       |         4.58419284e+14      2.01033106e-29                    
              6543.7          1.4351e-15                       |         4.58139064e+14      2.04978458e-29                    
              6547.8           1.428e-15                       |         4.57852193e+14      2.04220020e-29                    
              6551.8          1.4287e-15                       |         4.57572666e+14      2.04569839e-29                    
              6555.8           1.429e-15                       |         4.57293479e+14      2.04862711e-29                    
              6559.8          1.4301e-15                       |         4.57014633e+14      2.05270670e-29                    
              6563.9          1.4175e-15                       |         4.56729169e+14      2.03716532e-29                    
              6567.9          1.4082e-15                       |         4.56451010e+14      2.02626713e-29                    
              6571.9          1.4236e-15                       |         4.56173190e+14      2.05092211e-29                    
              6575.9          1.4186e-15                       |         4.55895709e+14      2.04620740e-29                    
                6580            1.42e-15                       |         4.55611640e+14      2.05078167e-29                    
                6584          1.4142e-15                       |         4.55334841e+14      2.04488916e-29                    
                6588          1.4181e-15                       |         4.55058377e+14      2.05302073e-29                    
                6592          1.4229e-15                       |         4.54782250e+14      2.06247205e-29                    
              6596.1          1.4218e-15                       |         4.54499566e+14      2.06344201e-29                    
              6600.1          1.4312e-15                       |         4.54224116e+14      2.07960405e-29                    
              6604.1          1.4197e-15                       |         4.53949000e+14      2.06539518e-29                    
              6608.1          1.4207e-15                       |         4.53674216e+14      2.06935447e-29                    
              6612.2          1.4183e-15                       |         4.53392909e+14      2.06842301e-29                    
              6616.2          1.4021e-15                       |         4.53118798e+14      2.04727194e-29                    
              6620.2          1.4173e-15                       |         4.52845018e+14      2.07196923e-29                    
              6624.2          1.4064e-15                       |         4.52571569e+14      2.05851969e-29                    
              6628.2           1.387e-15                       |         4.52298451e+14      2.03257681e-29                    
              6632.3          1.4088e-15                       |         4.52018846e+14      2.06707847e-29                    
              6636.3          1.4033e-15                       |         4.51746393e+14      2.06149289e-29                    
              6640.3          1.4062e-15                       |         4.51474269e+14      2.06824408e-29                    
              6644.3          1.3917e-15                       |         4.51202473e+14      2.04938423e-29                    
              6648.4          1.4077e-15                       |         4.50924221e+14      2.07550454e-29                    
              6652.4          1.4105e-15                       |         4.50653086e+14      2.08213601e-29                    
              6656.4          1.4056e-15                       |         4.50382277e+14      2.07739876e-29                    
              6660.4          1.4144e-15                       |         4.50111794e+14      2.09291778e-29                    
              6664.5          1.4049e-15                       |         4.49834885e+14      2.08142062e-29                    
              6668.5          1.4199e-15                       |         4.49565058e+14      2.10616973e-29                    
              6672.5          1.4202e-15                       |         4.49295555e+14      2.10914272e-29                    
              6676.5            1.42e-15                       |         4.49026375e+14      2.11137486e-29                    
              6680.6          1.4076e-15                       |         4.48750799e+14      2.09550882e-29                    
              6684.6          1.4054e-15                       |         4.48482271e+14      2.09473985e-29                    
              6688.6          1.4176e-15                       |         4.48214064e+14      2.11545333e-29                    
              6692.6          1.4092e-15                       |         4.47946178e+14      2.10543418e-29                    
              6696.7          1.4167e-15                       |         4.47671926e+14      2.11923382e-29                    
              6700.7          1.4035e-15                       |         4.47404688e+14      2.10199685e-29                    
              6704.7           1.412e-15                       |         4.47137768e+14      2.11725269e-29                    
              6708.7          1.4181e-15                       |         4.46871166e+14      2.12893742e-29                    
              6712.7          1.4217e-15                       |         4.46604882e+14      2.13688788e-29                    
              6716.8          1.4081e-15                       |         4.46332270e+14      2.11903255e-29                    
              6720.8          1.4068e-15                       |         4.46066627e+14      2.11959848e-29                    
              6724.8          1.4169e-15                       |         4.45801301e+14      2.13735785e-29                    
              6728.8          1.4214e-15                       |         4.45536290e+14      2.14669748e-29                    
              6732.9          1.4227e-15                       |         4.45264981e+14      2.15128008e-29                    
              6736.9          1.4434e-15                       |         4.45000607e+14      2.18517487e-29                    
              6740.9          1.4184e-15                       |         4.44736547e+14      2.14987786e-29                    
              6744.9          1.4318e-15                       |         4.44472800e+14      2.17276464e-29                    
                6749          1.4193e-15                       |         4.44202784e+14      2.15641505e-29                    
                6753          1.4183e-15                       |         4.43939670e+14      2.15745079e-29                    
                6757          1.4466e-15                       |         4.43676867e+14      2.20310702e-29                    
                6761          1.4539e-15                       |         4.43414375e+14      2.21684692e-29                    
              6765.1           1.515e-15                       |         4.43145643e+14      2.31281220e-29                    
              6769.1          1.4976e-15                       |         4.42883779e+14      2.28895359e-29                    
              6773.1          1.4697e-15                       |         4.42622225e+14      2.24896639e-29                    
              6777.1          1.4804e-15                       |         4.42360979e+14      2.26801624e-29                    
              6781.2          1.4739e-15                       |         4.42093522e+14      2.26079103e-29                    
              6785.2          1.4944e-15                       |         4.41832900e+14      2.29494066e-29                    
              6789.2          1.5052e-15                       |         4.41572584e+14      2.31425233e-29                    
              6793.2          1.4987e-15                       |         4.41312576e+14      2.30697456e-29                    
              6797.2          1.5253e-15                       |         4.41052873e+14      2.35068623e-29                    
              6801.3           1.527e-15                       |         4.40786995e+14      2.35614599e-29                    
              6805.3          1.5702e-15                       |         4.40527911e+14      2.42565381e-29                    
              6809.3          1.5372e-15                       |         4.40269130e+14      2.37746761e-29                    
              6813.3          1.5485e-15                       |         4.40010654e+14      2.39775900e-29                    
              6817.4          1.5399e-15                       |         4.39746031e+14      2.38731302e-29                    
              6821.4           1.527e-15                       |         4.39488168e+14      2.37009288e-29                    
              6825.4          1.5305e-15                       |         4.39230608e+14      2.37831210e-29                    
              6829.4          1.5242e-15                       |         4.38973349e+14      2.37129919e-29                    
              6833.5          1.4937e-15                       |         4.38709971e+14      2.32663938e-29                    
              6837.5          1.4733e-15                       |         4.38453322e+14      2.29755101e-29                    
              6841.5          1.4845e-15                       |         4.38196973e+14      2.31772636e-29                    
              6845.5          1.4586e-15                       |         4.37940923e+14      2.27995279e-29                    
              6849.6            1.47e-15                       |         4.37678783e+14      2.30052550e-29                    
              6853.6          1.4524e-15                       |         4.37423338e+14      2.27563730e-29                    
              6857.6          1.4436e-15                       |         4.37168191e+14      2.26449032e-29                    
              6861.6          1.4298e-15                       |         4.36913342e+14      2.24546031e-29                    
              6865.6          1.3542e-15                       |         4.36658790e+14      2.12921295e-29                    
              6869.7          1.1298e-15                       |         4.36398182e+14      1.77851040e-29                    
              6873.7          1.0726e-15                       |         4.36144229e+14      1.69043406e-29                    
              6877.7          1.1569e-15                       |         4.35890572e+14      1.82541483e-29                    
              6881.7          1.2795e-15                       |         4.35637210e+14      2.02120823e-29                    
              6885.8          1.2883e-15                       |         4.35377820e+14      2.03753516e-29                    
              6889.8          1.2458e-15                       |         4.35125053e+14      1.97260828e-29                    
              6893.8          1.2509e-15                       |         4.34872580e+14      1.98298417e-29                    
              6897.8          1.2569e-15                       |         4.34620399e+14      1.99480854e-29                    
              6901.9          1.2671e-15                       |         4.34362218e+14      2.01338817e-29                    
              6905.9          1.2983e-15                       |         4.34110629e+14      2.06535601e-29                    
              6909.9          1.3086e-15                       |         4.33859331e+14      2.08415366e-29                    
              6913.9          1.3079e-15                       |         4.33608324e+14      2.08545116e-29                    
                6918          1.3195e-15                       |         4.33351343e+14      2.10644346e-29                    
                6922          1.3528e-15                       |         4.33100923e+14      2.16210151e-29                    
                6926          1.3586e-15                       |         4.32850793e+14      2.17388157e-29                    
                6930          1.3587e-15                       |         4.32600951e+14      2.17655347e-29                    
              6934.1          1.3463e-15                       |         4.32345162e+14      2.15924212e-29                    
              6938.1          1.3501e-15                       |         4.32095904e+14      2.16783560e-29                    
              6942.1          1.3538e-15                       |         4.31846932e+14      2.17628383e-29                    
              6946.1          1.3697e-15                       |         4.31598248e+14      2.20438179e-29                    
              6950.1          1.3718e-15                       |         4.31349850e+14      2.21030497e-29                    
              6954.2           1.349e-15                       |         4.31095538e+14      2.17613382e-29                    
              6958.2          1.3597e-15                       |         4.30847718e+14      2.19591845e-29                    
