#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
              4338.7          3.4614e-15                       |         6.90973008e+14      2.17345338e-29                    
              4342.8          3.4553e-15                       |         6.90320666e+14      2.17372557e-29                    
              4346.8          3.4604e-15                       |         6.89685421e+14      2.18094602e-29                    
              4350.8          3.4158e-15                       |         6.89051345e+14      2.15680047e-29                    
              4354.8          3.4221e-15                       |         6.88418433e+14      2.16475335e-29                    
              4358.9          3.4586e-15                       |         6.87770903e+14      2.19196414e-29                    
              4362.9          3.4125e-15                       |         6.87140340e+14      2.16671841e-29                    
              4366.9          3.4091e-15                       |         6.86510932e+14      2.16853048e-29                    
              4370.9          3.4063e-15                       |         6.85882676e+14      2.17072062e-29                    
              4374.9          3.3755e-15                       |         6.85255569e+14      2.15503173e-29                    
                4379          3.3081e-15                       |         6.84613974e+14      2.11596176e-29                    
                4383          3.3193e-15                       |         6.83989183e+14      2.12700614e-29                    
                4387          3.2484e-15                       |         6.83365532e+14      2.08537454e-29                    
                4391          3.2903e-15                       |         6.82743018e+14      2.11612670e-29                    
              4395.1          3.2918e-15                       |         6.82106116e+14      2.12104683e-29                    
              4399.1          3.2249e-15                       |         6.81485893e+14      2.08172432e-29                    
              4403.1          3.2287e-15                       |         6.80866796e+14      2.08796920e-29                    
              4407.1          3.2415e-15                       |         6.80248823e+14      2.10005724e-29                    
              4411.2          3.1917e-15                       |         6.79616565e+14      2.07164271e-29                    
              4415.2          3.2772e-15                       |         6.79000858e+14      2.13099781e-29                    
              4419.2          3.2373e-15                       |         6.78386267e+14      2.10886878e-29                    
              4423.2          3.2693e-15                       |         6.77772787e+14      2.13357161e-29                    
              4427.3          3.2692e-15                       |         6.77145120e+14      2.13746341e-29                    
              4431.3          3.2641e-15                       |         6.76533882e+14      2.13798698e-29                    
              4435.3          3.2679e-15                       |         6.75923746e+14      2.14434201e-29                    
              4439.3          3.2843e-15                       |         6.75314710e+14      2.15899236e-29                    
              4443.4           3.277e-15                       |         6.74691585e+14      2.15817451e-29                    
              4447.4          3.2827e-15                       |         6.74084766e+14      2.16582257e-29                    
              4451.4             3.3e-15                       |         6.73479038e+14      2.18115475e-29                    
              4455.4          3.3055e-15                       |         6.72874397e+14      2.18871824e-29                    
              4459.4          3.3542e-15                       |         6.72270841e+14      2.22495437e-29                    
              4463.5          3.3566e-15                       |         6.71653319e+14      2.23064246e-29                    
              4467.5          3.3436e-15                       |         6.71051951e+14      2.22598757e-29                    
              4471.5          3.3623e-15                       |         6.70451658e+14      2.24244720e-29                    
              4475.5          3.3298e-15                       |         6.69852439e+14      2.22474668e-29                    
              4479.6           3.349e-15                       |         6.69239349e+14      2.24167638e-29                    
              4483.6          3.3193e-15                       |         6.68642294e+14      2.22576610e-29                    
              4487.6          3.3267e-15                       |         6.68046303e+14      2.23471021e-29                    
              4491.6          3.2857e-15                       |         6.67451374e+14      2.21110491e-29                    
              4495.7          3.2874e-15                       |         6.66842670e+14      2.21628952e-29                    
              4499.7          3.2395e-15                       |         6.66249881e+14      2.18788454e-29                    
              4503.7           3.199e-15                       |         6.65658146e+14      2.16437467e-29                    
              4507.7          3.2074e-15                       |         6.65067460e+14      2.17391435e-29                    
              4511.8          3.1574e-15                       |         6.64463095e+14      2.14392002e-29                    
              4515.8          3.2031e-15                       |         6.63874527e+14      2.17880916e-29                    
              4519.8          3.1072e-15                       |         6.63287002e+14      2.11732214e-29                    
              4523.8          3.0706e-15                       |         6.62700515e+14      2.09608714e-29                    
              4527.9          3.0841e-15                       |         6.62100442e+14      2.10912054e-29                    
              4531.9          3.0555e-15                       |         6.61516051e+14      2.09325540e-29                    
              4535.9          3.0012e-15                       |         6.60932690e+14      2.05968675e-29                    
              4539.9          3.0472e-15                       |         6.60350358e+14      2.09494598e-29                    
              4543.9          3.0629e-15                       |         6.59769051e+14      2.10945198e-29                    
                4548          3.0458e-15                       |         6.59174272e+14      2.10146224e-29                    
                4552          3.0557e-15                       |         6.58595033e+14      2.11200293e-29                    
                4556          3.0668e-15                       |         6.58016811e+14      2.12340180e-29                    
                4560            3.04e-15                       |         6.57439603e+14      2.10854350e-29                    
              4564.1          3.0145e-15                       |         6.56849015e+14      2.09461827e-29                    
              4568.1          3.0275e-15                       |         6.56273853e+14      2.10734020e-29                    
              4572.1          3.0261e-15                       |         6.55699698e+14      2.11005615e-29                    
              4576.1          3.0044e-15                       |         6.55126547e+14      2.09859224e-29                    
              4580.2          3.0638e-15                       |         6.54540105e+14      2.14392008e-29                    
              4584.2          3.0654e-15                       |         6.53968978e+14      2.14878796e-29                    
              4588.2          3.0761e-15                       |         6.53398847e+14      2.16005310e-29                    
              4592.2           3.092e-15                       |         6.52829709e+14      2.17500555e-29                    
              4596.3          3.0867e-15                       |         6.52247371e+14      2.17515621e-29                    
              4600.3           2.972e-15                       |         6.51680236e+14      2.09797549e-29                    
              4604.3          2.9601e-15                       |         6.51114087e+14      2.09321050e-29                    
              4608.3          2.9624e-15                       |         6.50548920e+14      2.09847830e-29                    
              4612.4          2.8827e-15                       |         6.49970642e+14      2.04565631e-29                    
              4616.4          2.8354e-15                       |         6.49407458e+14      2.01558211e-29                    
              4620.4           2.857e-15                       |         6.48845249e+14      2.03445780e-29                    
              4624.4          2.8128e-15                       |         6.48284013e+14      2.00645274e-29                    
              4628.4          2.7651e-15                       |         6.47723747e+14      1.97584061e-29                    
              4632.5          2.7842e-15                       |         6.47150478e+14      1.99301506e-29                    
              4636.5           2.759e-15                       |         6.46592169e+14      1.97838825e-29                    
              4640.5          2.7741e-15                       |         6.46034822e+14      1.99264972e-29                    
              4644.5          2.7869e-15                       |         6.45478435e+14      2.00529659e-29                    
              4648.6          2.7943e-15                       |         6.44909132e+14      2.01417259e-29                    
              4652.6           2.767e-15                       |         6.44354681e+14      1.99792825e-29                    
              4656.6          2.7661e-15                       |         6.43801183e+14      2.00071413e-29                    
              4660.6          2.7635e-15                       |         6.43248635e+14      2.00226901e-29                    
              4664.7          2.7757e-15                       |         6.42683257e+14      2.01464837e-29                    
